Medal_ID,Medal_Name,Acronym,Slang,Service,Precedence,Category,Bong_Score,Valor_Tier,Image_Image,Medal_Link,Wiki_Link,Date_In_Use,Device,Ribbon_File_Direct_URL,Ribbon_Thumbnail_URL,Ribbon_Thumbnail_Image
gb-all-emergency-reserve-deco,Emergency Reserve Decoration,ERD,Award,ALL,6,Service / General – Other,0,5,Army_Emergency_Reserve_Decoration.png,https://en.wikipedia.org/wiki/Emergency_Reserve_Decoration,https://en.wikipedia.org/wiki/Emergency_Reserve_Decoration,1952–present,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Army_Emergency_Reserve_Decoration.png,https://upload.wikimedia.org/wikipedia/commons/e/e8/Army_Emergency_Reserve_Decoration.png,
gb-all-empire-gallantry-medal,Empire Gallantry Medal,EGM,Medal,ALL,50,Gallantry – Decoration,0,5,Empire_Gallantry_Medal%2C_civil_ribbon_1937-40%2C_with_silver_laurel_branch.png,https://en.wikipedia.org/wiki/Empire_Gallantry_Medal,https://en.wikipedia.org/wiki/Empire_Gallantry_Medal,1922–1940,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Empire_Gallantry_Medal%2C_civil_ribbon_1937-40%2C_with_silver_laurel_branch.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Empire_Gallantry_Medal%2C_civil_ribbon_1937-40%2C_with_silver_laurel_branch.png/330px-Empire_Gallantry_Medal%2C_civil_ribbon_1937-40%2C_with_silver_laurel_branch.png,
us-sc-enlisted-person-of-the,Enlisted Person of the Year Ribbon,EPOT,Award,SC,50,Service / General – Other,0,5,Enlisted_Person_of_the_Year_Ribbon.svg,https://en.wikipedia.org/wiki/Enlisted_Person_of_the_Year_Ribbon,https://en.wikipedia.org/wiki/Enlisted_Person_of_the_Year_Ribbon,1999–present,,https://upload.wikimedia.org/wikipedia/commons/2/25/Enlisted_Person_of_the_Year_Ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Enlisted_Person_of_the_Year_Ribbon.svg/330px-Enlisted_Person_of_the_Year_Ribbon.svg.png,
gb-all-fiji-independence-meda,Fiji Independence Medal,FIM,Medal,ALL,50,Service / General – Other,0,5,Independence_Medal_%28Fiji%29_ribbon.png,https://en.wikipedia.org/wiki/Fiji_Independence_Medal,https://en.wikipedia.org/wiki/Fiji_Independence_Medal,1970–present,,https://upload.wikimedia.org/wikipedia/commons/9/95/Independence_Medal_%28Fiji%29_ribbon.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Independence_Medal_%28Fiji%29_ribbon.png,
us-n-fleet-marine-force-rib,Fleet Marine Force Ribbon,FMFR,Award,N,50,Service / General – Other,0,5,Navy_Fleet_Marine_Force_Service_Ribbon.svg,https://en.wikipedia.org/wiki/Fleet_Marine_Force_Ribbon,https://en.wikipedia.org/wiki/Fleet_Marine_Force_Ribbon,1984–present,,https://upload.wikimedia.org/wikipedia/commons/7/73/Navy_Fleet_Marine_Force_Service_Ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Navy_Fleet_Marine_Force_Service_Ribbon.svg/330px-Navy_Fleet_Marine_Force_Service_Ribbon.svg.png,
us-all-four-chaplains-medal,Four Chaplains' Medal,FCM,Medal,ALL,50,Service / General – Other,0,5,FourChapRibbon.jpg,https://en.wikipedia.org/wiki/Four_Chaplains%27_Medal,https://en.wikipedia.org/wiki/Four_Chaplains%27_Medal,1960–present,,https://upload.wikimedia.org/wikipedia/commons/c/cb/FourChapRibbon.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/FourChapRibbon.jpg,
gb-all-france-and-germany-sta,France and Germany Star,FAGS,Star,ALL,50,Service / General – Other,0,5,Ribbon_-_France_and_Germany_Star_%26_Rosette.png,https://en.wikipedia.org/wiki/France_and_Germany_Star,https://en.wikipedia.org/wiki/France_and_Germany_Star,1945–present,,https://upload.wikimedia.org/wikipedia/commons/9/92/Ribbon_-_France_and_Germany_Star_%26_Rosette.png,https://upload.wikimedia.org/wikipedia/commons/9/92/Ribbon_-_France_and_Germany_Star_%26_Rosette.png,
us-af-gallant-unit-citation,Gallant Unit Citation,GUC,Award,AF,7,Unit – Unit citation,0,5,Gallant_Unit_Citation_ribbon.svg,https://en.wikipedia.org/wiki/Gallant_Unit_Citation,https://en.wikipedia.org/wiki/Gallant_Unit_Citation,2004–present,,https://upload.wikimedia.org/wikipedia/commons/9/90/Gallant_Unit_Citation_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Gallant_Unit_Citation_ribbon.svg/330px-Gallant_Unit_Citation_ribbon.svg.png,
gb-all-general-service-medal-,General Service Medal (1918),GSM1,Medal,ALL,6,Service – Longevity / good conduct,0,5,General_Service_Medal_1918_BAR_MID.svg,https://en.wikipedia.org/wiki/General_Service_Medal_(1918),https://en.wikipedia.org/wiki/General_Service_Medal_(1918),1923–present,,https://upload.wikimedia.org/wikipedia/commons/e/e8/General_Service_Medal_1918_BAR_MID.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/General_Service_Medal_1918_BAR_MID.svg/330px-General_Service_Medal_1918_BAR_MID.svg.png,
gb-all-general-service-medal-,General Service Medal (1962),GSM1,Medal,ALL,6,Service – Longevity / good conduct,0,5,UK_General_Service_Medal_1962_ribbon.svg,https://en.wikipedia.org/wiki/General_Service_Medal_(1962),https://en.wikipedia.org/wiki/General_Service_Medal_(1962),1964–present,,https://upload.wikimedia.org/wikipedia/commons/7/7b/UK_General_Service_Medal_1962_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/UK_General_Service_Medal_1962_ribbon.svg/330px-UK_General_Service_Medal_1962_ribbon.svg.png,
gb-all-general-service-medal-,General Service Medal (2008),GSM2,Medal,ALL,6,Service – Longevity / good conduct,0,5,General_Service_Medal_08_ribbon.png,https://en.wikipedia.org/wiki/General_Service_Medal_(2008),https://en.wikipedia.org/wiki/General_Service_Medal_(2008),2015–present,,https://upload.wikimedia.org/wikipedia/commons/6/64/General_Service_Medal_08_ribbon.png,https://upload.wikimedia.org/wikipedia/commons/6/64/General_Service_Medal_08_ribbon.png,
